date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-00-05,0,0,55,38,0,0,49,39,0,0,0,36,0,49,39,0
09-01-05,0,0,53,41,36,0,48,35,0,0,32,40,0,48,35,0
09-02-05,33,0,57,37,35,0,50,40,0,0,0,38,0,49,35,0
09-03-05,32,0,55,37,32,0,48,42,0,0,0,39,35,51,40,0
09-04-05,32,0,56,36,32,0,49,41,0,0,31,37,35,50,37,0
09-05-05,34,0,55,35,0,0,50,42,0,0,30,34,34,53,36,0
09-06-05,33,0,56,37,30,0,48,41,0,0,31,0,35,53,37,0
09-07-05,34,0,55,36,0,0,48,42,0,0,32,0,34,53,35,0
09-08-05,34,0,55,36,0,0,48,42,0,0,32,0,35,53,36,0
09-09-05,34,0,55,35,30,0,47,42,0,0,34,0,34,54,40,0
09-10-05,34,0,55,35,30,0,47,42,0,0,34,0,34,53,40,0
09-11-05,34,0,55,35,30,0,47,42,0,0,32,0,35,53,41,0
09-12-05,34,0,55,35,30,0,48,43,0,0,33,0,34,53,40,0
09-13-05,34,0,56,36,30,0,49,43,0,0,33,0,34,53,39,0
09-14-05,34,0,55,35,0,0,49,42,0,0,33,0,34,53,35,0
09-15-05,33,0,56,35,0,0,48,42,0,0,33,0,35,53,35,0
09-16-05,33,0,56,35,0,0,48,42,0,0,32,0,35,52,36,0
09-17-05,34,0,55,36,29,0,48,42,0,0,31,0,35,53,37,0
09-18-05,31,0,56,39,32,0,49,42,0,0,30,0,35,53,35,0
09-19-05,31,0,56,39,0,0,49,42,0,0,33,0,34,52,36,0
09-20-05,30,0,55,35,0,0,47,41,0,0,33,0,29,52,35,0
09-21-05,31,0,53,37,0,0,48,40,0,0,0,0,0,53,35,0
09-22-05,30,0,56,42,0,0,46,40,0,0,34,0,0,49,39,0
09-23-05,32,0,56,41,0,0,48,41,0,0,30,0,0,53,35,0
09-24-05,38,0,56,40,0,0,48,38,0,0,31,0,0,55,38,0
09-25-05,37,0,55,39,0,0,49,32,0,0,30,0,0,56,38,0
09-26-05,35,0,55,38,0,0,48,0,0,0,31,0,0,56,40,0
09-27-05,39,0,56,33,0,0,50,0,0,0,30,0,0,57,45,0
09-28-05,39,0,57,31,0,0,37,29,0,0,30,0,0,58,49,0
09-29-05,39,0,56,0,0,0,35,0,0,0,30,0,0,57,48,0
09-30-05,39,0,56,0,0,0,0,0,0,0,0,0,0,57,45,0
09-31-05,39,0,56,0,0,0,0,0,0,0,30,0,0,57,42,0
09-32-05,39,0,56,0,0,0,0,0,0,0,30,0,0,56,32,0
09-33-05,39,0,57,0,0,0,0,0,0,0,0,0,0,57,0,0
09-34-05,41,0,49,0,0,0,0,0,0,0,31,0,0,56,35,0
09-35-05,40,0,48,0,0,0,0,0,0,0,30,0,0,56,0,0
09-36-05,41,0,49,0,0,0,0,0,0,0,33,0,0,57,32,0
09-37-05,41,0,50,0,0,0,0,0,0,0,33,0,0,57,0,0
09-38-05,41,0,49,0,0,0,0,0,0,0,32,0,0,57,0,0
09-39-05,45,0,43,0,0,0,0,0,0,0,31,0,0,55,29,0
09-40-05,45,0,43,0,0,0,0,0,0,0,30,0,0,54,0,0
09-41-05,0,0,44,0,0,0,0,0,0,0,32,0,0,56,0,0
09-42-05,0,0,44,0,0,0,0,0,0,0,31,0,0,56,0,0
09-43-05,0,0,39,0,0,0,0,0,0,0,32,0,0,52,0,0
09-44-05,0,0,42,0,0,0,0,0,0,0,32,0,0,50,0,0
09-45-05,0,0,41,0,0,0,0,0,0,0,31,0,0,50,29,0
09-46-05,0,0,42,0,0,0,0,0,0,0,31,0,0,50,34,0
09-47-05,0,0,41,0,0,0,0,0,0,0,30,0,0,50,34,0
09-48-05,0,0,41,0,0,0,0,0,0,0,0,0,0,49,31,0
09-49-05,0,0,42,0,0,0,0,0,0,0,33,0,0,49,31,0
09-50-05,0,0,33,0,0,0,0,0,0,0,31,0,0,30,31,0
09-51-55,0,0,30,0,0,0,37,0,0,0,0,0,0,0,0,0
09-52-35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
09-53-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
09-54-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
09-55-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-56-05,0,0,32,0,0,0,0,0,0,0,0,0,0,31,0,0
09-57-05,0,0,43,42,0,0,0,0,0,0,30,0,0,31,37,0
09-58-05,0,0,32,0,0,0,0,0,0,0,32,0,0,31,0,0
09-59-05,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
10-00-05,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
10-01-05,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-02-15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,32,0
10-03-05,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
10-04-05,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
10-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-06-05,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-07-25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
10-08-35,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
10-09-15,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33
10-11-05,0,0,33,0,0,0,0,35,0,0,33,0,0,33,30,0
10-12-05,0,0,0,0,0,0,0,0,0,0,30,0,34,32,0,0
10-13-15,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
10-14-05,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
10-15-05,0,0,35,0,0,0,0,0,0,0,0,0,0,31,0,0
10-16-25,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
10-17-05,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0
10-18-05,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0
10-19-05,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
10-20-35,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,0
10-21-35,0,0,0,0,0,0,31,0,0,0,0,0,0,31,0,0
10-22-05,0,0,0,0,0,0,32,0,0,0,0,0,0,31,33,0
10-23-05,0,0,0,0,0,0,32,0,0,0,31,0,0,33,0,0
10-24-15,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-25-05,0,0,0,0,0,0,30,32,0,0,34,0,0,0,0,0
10-26-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-27-05,0,0,0,0,0,0,0,0,0,0,36,0,0,30,0,0
10-28-05,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
10-29-05,0,0,34,0,0,0,32,0,0,0,0,0,0,0,29,0
10-30-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-31-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
10-32-05,0,0,29,0,0,0,0,0,0,0,0,0,0,0,32,0
10-33-05,0,0,0,0,0,0,31,0,0,0,0,0,0,0,30,0
10-34-05,0,0,0,0,0,0,29,0,0,0,0,0,0,0,30,0
10-35-05,0,0,36,34,0,0,0,0,0,0,0,0,0,0,32,0
10-36-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
10-37-15,0,0,30,0,0,0,30,0,0,0,32,0,0,30,31,0
10-38-35,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0
10-39-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-40-05,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
10-41-15,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
10-42-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,30,0
10-43-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-44-05,0,0,29,0,0,0,0,0,0,0,0,0,0,30,0,0
10-45-05,0,0,32,0,0,0,0,0,0,0,0,0,0,32,32,0
10-46-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0
10-47-05,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
10-49-15,0,0,32,0,0,0,0,0,0,0,0,0,0,0,37,0
10-50-05,0,0,30,0,0,0,33,0,0,0,0,0,0,0,32,0
10-51-05,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
10-52-05,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
10-53-05,0,0,0,0,0,0,31,0,0,0,33,0,0,0,32,0
10-54-05,0,0,40,0,0,0,29,0,0,0,33,0,0,29,0,0
10-55-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
10-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-57-15,0,0,0,0,0,0,34,0,0,0,0,0,0,0,31,0
10-58-05,0,0,0,0,0,0,29,33,0,0,34,0,0,33,0,0
10-59-05,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
11-00-15,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
11-01-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-05,0,0,32,0,0,0,0,0,0,0,0,0,30,0,0,0
11-03-05,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
11-04-05,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
11-05-05,0,0,0,31,0,0,0,32,0,0,34,0,0,33,0,0
11-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
11-07-05,0,0,0,0,0,0,0,0,0,0,29,0,0,31,0,0
11-08-05,0,0,0,0,0,0,0,36,0,0,0,0,0,0,32,0
11-09-05,0,0,32,0,0,0,0,0,0,0,0,0,35,0,0,0
11-10-05,0,0,30,0,0,0,0,37,0,0,0,0,0,0,0,0
11-11-05,0,0,45,30,0,0,0,0,0,0,0,0,0,0,0,0
11-12-15,0,0,32,36,0,0,0,0,0,0,0,0,30,0,0,0
11-13-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-14-05,0,0,30,0,0,0,0,0,0,0,0,0,0,32,0,0
11-15-05,0,0,33,0,0,0,0,0,0,0,33,0,0,32,31,0
11-16-05,0,0,37,0,0,0,0,0,0,0,0,0,0,30,31,0
11-17-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
11-18-05,0,0,30,0,0,0,0,0,0,0,31,0,0,0,37,0
11-19-15,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
11-20-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
11-21-05,0,0,37,0,0,0,0,0,0,0,30,0,0,0,0,0
11-22-15,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
11-23-05,0,0,39,0,0,0,0,0,0,0,33,0,0,34,35,0
11-24-05,0,0,36,0,0,0,0,0,0,0,0,0,0,31,0,0
11-25-05,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
11-26-25,0,0,32,0,0,0,0,0,0,0,0,0,0,0,31,0
11-27-05,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,0
11-28-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-29-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
11-30-05,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
11-31-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-32-05,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-33-05,0,0,0,0,0,0,0,35,0,0,33,0,0,31,0,0
11-34-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-35-05,0,0,34,31,0,0,0,0,0,0,0,0,0,0,0,0
11-36-35,0,0,38,32,0,0,0,0,0,0,0,0,0,0,0,0
11-37-05,0,0,0,0,0,0,0,0,0,0,36,0,0,33,34,0
11-38-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-39-05,0,0,34,0,0,0,0,0,0,0,31,0,0,0,32,0
11-40-05,0,0,0,0,0,0,0,30,0,0,32,0,0,0,30,0
11-41-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
11-42-05,0,0,32,0,0,0,0,0,0,0,32,0,0,31,31,0
11-43-05,0,0,42,30,0,0,0,0,0,0,0,0,0,0,48,0
11-44-05,0,0,46,30,0,0,0,0,0,0,0,0,0,0,49,0
11-45-05,0,0,48,30,0,0,0,0,0,0,0,0,0,0,49,0
11-46-05,0,0,46,0,0,0,0,0,0,0,0,0,0,0,50,0
11-47-25,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
11-48-15,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
11-49-35,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
11-50-15,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
11-51-15,0,0,35,33,0,0,0,0,0,0,0,0,0,0,0,0
11-52-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0
11-53-05,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
11-54-05,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
11-55-25,0,0,36,0,0,0,0,0,0,0,0,0,0,30,33,0
11-56-15,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
11-57-15,0,0,38,35,0,0,0,0,0,0,0,0,0,0,0,0
11-58-05,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
11-59-05,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-00-05,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
12-01-05,0,0,42,35,0,0,0,0,0,0,0,0,0,33,0,0
12-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
12-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
12-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
12-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
12-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
12-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
